Confusion Matrix:
Rows: Ground Truth, Columns: Predictions

	Joy	Sadness	Anticipation	Trust	Neutral	Surprise	Disgust	Anger	Fear	Reject	None
Joy	248	33	51	41	59	12	5	3	3	1	0
Sadness	11	237	33	3	17	18	7	17	9	0	0
Anticipation	36	18	168	3	4	0	1	1	1	0	0
Trust	86	3	7	81	19	1	0	0	2	0	0
Neutral	5	5	14	2	53	8	0	1	1	0	0
Surprise	0	26	9	0	5	13	0	6	4	0	0
Disgust	1	25	5	0	2	4	10	14	1	0	0
Anger	0	10	1	0	0	3	4	17	2	0	0
Fear	0	2	3	0	1	2	12	3	13	0	0
Reject	2	1	1	0	3	1	0	1	0	17	0
None	0	0	0	0	0	0	0	0	0	0	0
