                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.806655   0.731563  0.666667  0.697609
1                                  Sadness  0.889388   0.806122  0.782178  0.793970
2                             Anticipation  0.938849   0.756757  0.923077  0.831683
3                                    Trust  0.901079   0.675000  0.532895  0.595588
4                                  Neutral  0.877698   0.344156  0.602273  0.438017
5                                 Surprise  0.928957   0.254902  0.240741  0.247619
6                                  Disgust  0.942446   0.294118  0.200000  0.238095
7                                    Anger  0.959532   0.326923  0.629630  0.430380
8                                     Fear  0.976619   0.464286  0.541667  0.500000
9                                   Reject  0.995504   1.000000  0.772727  0.871795
Weighted Average          Weighted Average  0.921673   0.565383  0.589185  0.564476
Non-weighted Average  Non-weighted Average  0.921673   0.805594  0.813287  0.809371
