Confusion Matrix:
Rows: Ground Truth, Columns: Predictions

	Joy	Trust	Fear	Surprise	Sadness	Disgust	Anger	Anticipation	Neutral	Reject	None
Joy	251	43	3	12	34	3	3	52	57	1	0
Trust	87	79	3	2	2	0	0	7	21	0	0
Fear	0	0	13	2	2	13	2	3	1	0	0
Surprise	0	0	4	14	27	2	6	9	5	0	0
Sadness	12	3	10	19	234	8	18	33	14	0	0
Disgust	1	0	1	3	25	11	16	5	3	0	0
Anger	0	0	2	3	8	4	18	0	0	0	0
Anticipation	38	3	1	0	18	1	1	168	4	0	0
Neutral	6	2	1	7	4	0	1	14	54	0	0
Reject	1	0	0	1	0	0	1	1	3	17	0
None	0	0	0	0	0	0	0	0	0	0	0
