Confusion Matrix:
Rows: Ground Truth, Columns: Predictions

	Joy	Trust	Fear	Surprise	Sadness	Disgust	Anger	Anticipation	Neutral	Reject	None
Joy	239	36	3	4	41	7	7	51	37	4	0
Trust	80	66	3	0	8	1	3	9	8	5	0
Fear	0	0	7	3	8	10	4	1	0	0	0
Surprise	3	0	2	13	27	1	8	7	4	0	0
Sadness	26	7	12	20	198	12	24	37	16	3	0
Disgust	2	0	2	2	22	20	21	5	1	0	0
Anger	0	2	1	0	6	6	20	0	0	0	0
Anticipation	34	5	1	3	25	3	5	143	4	1	0
Neutral	9	6	1	4	4	3	0	13	46	3	0
Reject	1	0	0	0	2	0	0	1	2	16	0
None	0	0	0	0	0	0	0	0	0	0	0
