                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.782374   0.684659  0.647849  0.665746
1                                  Sadness  0.840827   0.723404  0.673267  0.697436
2                             Anticipation  0.913669   0.708738  0.802198  0.752577
3                                    Trust  0.885791   0.619048  0.427632  0.505837
4                                  Neutral  0.886691   0.336207  0.443182  0.382353
5                                 Surprise  0.937950   0.317073  0.240741  0.273684
6                                  Disgust  0.936151   0.333333  0.420000  0.371681
7                                    Anger  0.942446   0.259740  0.740741  0.384615
8                                     Fear  0.964928   0.222222  0.250000  0.235294
9                                   Reject  0.986511   0.629630  0.772727  0.693878
Weighted Average          Weighted Average  0.907734   0.483405  0.541834  0.496310
Non-weighted Average  Non-weighted Average  0.907734   0.772290  0.776373  0.774309
