                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.807554   0.732353  0.669355  0.699438
1                                  Sadness  0.880396   0.817164  0.722772  0.767075
2                             Anticipation  0.941547   0.785366  0.884615  0.832041
3                                    Trust  0.905576   0.682171  0.578947  0.626335
4                                  Neutral  0.918165   0.485437  0.568182  0.523560
5                                 Surprise  0.947842   0.416667  0.185185  0.256410
6                                  Disgust  0.936151   0.352113  0.500000  0.413223
7                                    Anger  0.974820   0.481481  0.481481  0.481481
8                                     Fear  0.972122   0.315789  0.250000  0.279070
9                                   Reject  0.993705   0.894737  0.772727  0.829268
Weighted Average          Weighted Average  0.927788   0.596328  0.561327  0.570790
Non-weighted Average  Non-weighted Average  0.927788   0.825731  0.810248  0.817722
