                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.791367   0.701149  0.655914  0.677778
1                                  Sadness  0.843525   0.731183  0.673267  0.701031
2                             Anticipation  0.917266   0.720588  0.807692  0.761658
3                                    Trust  0.889388   0.630631  0.460526  0.532319
4                                  Neutral  0.900180   0.392523  0.477273  0.430769
5                                 Surprise  0.938849   0.325000  0.240741  0.276596
6                                  Disgust  0.943345   0.385965  0.440000  0.411215
7                                    Anger  0.944245   0.266667  0.740741  0.392157
8                                     Fear  0.965827   0.230769  0.250000  0.240000
9                                   Reject  0.986511   0.620690  0.818182  0.705882
Weighted Average          Weighted Average  0.912050   0.500516  0.556434  0.512941
Non-weighted Average  Non-weighted Average  0.912050   0.783207  0.783594  0.783400
