Emotion,Accuracy,Precision,Recall,F1
Joy,0.810251798561151,0.7346938775510204,0.6774193548387096,0.7048951048951049
Sadness,0.8911870503597122,0.8116438356164384,0.7821782178217822,0.7966386554621848
Anticipation,0.9388489208633094,0.7567567567567568,0.9230769230769231,0.8316831683168316
Trust,0.8992805755395683,0.6694915254237288,0.5197368421052632,0.5851851851851851
Neutral,0.8794964028776978,0.35064935064935066,0.6136363636363636,0.4462809917355372
Surprise,0.9298561151079137,0.2692307692307692,0.25925925925925924,0.2641509433962264
Disgust,0.9415467625899281,0.2857142857142857,0.2,0.23529411764705882
Anger,0.9577338129496403,0.3148148148148148,0.6296296296296297,0.41975308641975306
Fear,0.9757194244604317,0.4482758620689655,0.5416666666666666,0.49056603773584906
Reject,0.9955035971223022,1.0,0.7727272727272727,0.8717948717948718
Weighted Average,0.9219424460431656,0.564127107782613,0.591933052976187,0.5646242162588603
Non-weighted Average,0.9219424460431654,0.8060648280771201,0.8148062581334976,0.8103459184375215
