                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.803957   0.722543  0.672043  0.696379
1                                    Trust  0.908273   0.735849  0.513158  0.604651
2                                     Fear  0.973022   0.375000  0.375000  0.375000
3                                 Surprise  0.944245   0.357143  0.185185  0.243902
4                                  Sadness  0.879496   0.814126  0.722772  0.765734
5                                  Disgust  0.947842   0.404762  0.340000  0.369565
6                                    Anger  0.965827   0.377778  0.629630  0.472222
7                             Anticipation  0.944245   0.791262  0.895604  0.840206
8                                  Neutral  0.915468   0.472222  0.579545  0.520408
9                                   Reject  0.994604   0.944444  0.772727  0.850000
Weighted Average          Weighted Average  0.927698   0.599513  0.568567  0.573807
Non-weighted Average  Non-weighted Average  0.927698   0.826263  0.807806  0.816653
