Confusion Matrix:
Rows: Ground Truth, Columns: Predictions

	Joy	Trust	Fear	Surprise	Sadness	Disgust	Anger	Anticipation	Neutral	Reject	None
Joy	250	29	2	2	28	4	1	48	40	2	14
Trust	94	78	2	0	2	0	0	6	8	0	4
Fear	0	0	9	1	2	12	1	1	0	0	2
Surprise	0	0	6	10	26	0	5	8	2	0	3
Sadness	9	2	11	16	219	9	15	24	8	0	13
Disgust	0	0	0	1	22	17	13	4	0	0	5
Anger	0	0	0	0	7	4	17	0	0	0	1
Anticipation	28	3	1	0	17	1	1	163	2	0	5
Neutral	7	4	0	4	4	1	0	12	51	0	5
Reject	0	0	0	1	0	0	0	0	3	17	1
None	0	0	0	0	0	0	0	0	0	0	0
