Confusion Matrix:
Rows: Ground Truth, Columns: Predictions

	Joy	Sadness	Anticipation	Trust	Neutral	Surprise	Disgust	Anger	Fear	Reject	None
Joy	244	42	51	34	37	4	6	6	3	5	3
Sadness	23	204	35	4	16	21	16	30	13	2	3
Anticipation	33	22	147	4	4	3	2	3	1	1	1
Trust	87	8	6	70	9	0	0	1	3	1	0
Neutral	8	4	13	8	42	4	2	0	1	5	1
Surprise	3	25	9	0	4	13	1	6	2	0	1
Disgust	0	25	4	0	0	2	22	21	2	0	0
Anger	0	5	0	2	0	0	5	20	1	0	0
Fear	0	6	0	0	1	2	11	3	6	0	1
Reject	0	2	0	0	2	0	0	0	0	18	0
None	0	0	0	0	0	0	0	0	0	0	0
