                                   Emotion  Accuracy  Precision    Recall        F1
0                                      Joy  0.810252   0.734694  0.677419  0.704895
1                                  Sadness  0.891187   0.811644  0.782178  0.796639
2                             Anticipation  0.938849   0.756757  0.923077  0.831683
3                                    Trust  0.899281   0.669492  0.519737  0.585185
4                                  Neutral  0.879496   0.350649  0.613636  0.446281
5                                 Surprise  0.929856   0.269231  0.259259  0.264151
6                                  Disgust  0.941547   0.285714  0.200000  0.235294
7                                    Anger  0.957734   0.314815  0.629630  0.419753
8                                     Fear  0.975719   0.448276  0.541667  0.490566
9                                   Reject  0.995504   1.000000  0.772727  0.871795
Weighted Average          Weighted Average  0.921942   0.564127  0.591933  0.564624
Non-weighted Average  Non-weighted Average  0.921942   0.806065  0.814806  0.810346
